"","year","avg_sunspots"
"1",1850,126.3
"2",1851,122
"3",1852,102.7
"4",1853,74.1
"5",1854,39
"6",1855,12.7
"7",1856,8.2
"8",1857,43.4
"9",1858,104.4
"10",1859,178.3
"11",1860,182.2
"12",1861,146.6
"13",1862,112.1
"14",1863,83.5
"15",1864,89.2
"16",1865,57.8
"17",1866,30.7
"18",1867,13.9
"19",1868,62.8
"20",1869,123.6
"21",1870,232
"22",1871,185.3
"23",1872,169.2
"24",1873,110.1
"25",1874,74.5
"26",1875,28.3
"27",1876,18.9
"28",1877,20.7
"29",1878,5.7
"30",1879,10
"31",1880,53.7
"32",1881,90.5
"33",1882,99
"34",1883,106.1
"35",1884,105.8
"36",1885,86.3
"37",1886,42.4
"38",1887,21.8
"39",1888,11.2
"40",1889,10.4
"41",1890,11.8
"42",1891,59.5
"43",1892,121.7
"44",1893,142
"45",1894,130
"46",1895,106.6
"47",1896,69.4
"48",1897,43.8
"49",1898,44.4
"50",1899,20.2
"51",1900,15.7
"52",1901,4.6
"53",1902,8.5
"54",1903,40.8
"55",1904,70.1
"56",1905,105.5
"57",1906,90.1
"58",1907,102.8
"59",1908,80.9
"60",1909,73.2
"61",1910,30.9
"62",1911,9.5
"63",1912,6
"64",1913,2.4
"65",1914,16.1
"66",1915,79
"67",1916,95
"68",1917,173.6
"69",1918,134.6
"70",1919,105.7
"71",1920,62.7
"72",1921,43.5
"73",1922,23.7
"74",1923,9.7
"75",1924,27.9
"76",1925,74
"77",1926,106.5
"78",1927,114.7
"79",1928,129.7
"80",1929,108.2
"81",1930,59.4
"82",1931,35.1
"83",1932,18.6
"84",1933,9.2
"85",1934,14.6
"86",1935,60.2
"87",1936,132.8
"88",1937,190.6
"89",1938,182.6
"90",1939,148
"91",1940,113
"92",1941,79.2
"93",1942,50.8
"94",1943,27.1
"95",1944,16.1
"96",1945,55.3
"97",1946,154.3
"98",1947,214.7
"99",1948,193
"100",1949,190.7
"101",1950,118.9
"102",1951,98.3
"103",1952,45
"104",1953,20.1
"105",1954,6.6
"106",1955,54.2
"107",1956,200.7
"108",1957,269.3
"109",1958,261.7
"110",1959,225.1
"111",1960,159
"112",1961,76.4
"113",1962,53.4
"114",1963,39.9
"115",1964,15
"116",1965,22
"117",1966,66.8
"118",1967,132.9
"119",1968,150
"120",1969,149.4
"121",1970,148
"122",1971,94.4
"123",1972,97.6
"124",1973,54.1
"125",1974,49.2
"126",1975,22.5
"127",1976,18.4
"128",1977,39.3
"129",1978,131
"130",1979,220.1
"131",1980,218.9
"132",1981,198.9
"133",1982,162.4
"134",1983,91
"135",1984,60.5
"136",1985,20.6
"137",1986,14.8
"138",1987,33.9
"139",1988,123
"140",1989,211.1
"141",1990,191.8
"142",1991,203.3
"143",1992,133
"144",1993,76.1
"145",1994,44.9
"146",1995,25.1
"147",1996,11.6
"148",1997,28.9
"149",1998,88.3
"150",1999,136.3
"151",2000,173.9
"152",2001,170.4
"153",2002,163.6
"154",2003,99.3
"155",2004,65.3
"156",2005,45.8
"157",2006,24.7
"158",2007,12.6
"159",2008,4.2
"160",2009,4.8
"161",2010,24.9
"162",2011,80.8
"163",2012,84.5
"164",2013,94
"165",2014,113.3
"166",2015,69.8
"167",2016,39.8
"168",2017,21.7
"169",2018,7
"170",2019,3.6
"171",2020,8.8
"172",2021,29.6
"173",2022,83.2
"174",2023,125.5
"175",2024,154.7
